,datetime,next_change_id
122,2019-09-11 22:00:00,482271866-498823177-471012706-538682298-511880230
123,2019-09-11 23:00:00,482306040-498860894-471050398-538723672-511922952
124,2019-09-12 00:00:00,482342254-498896792-471083078-538763350-511961458
125,2019-09-12 01:00:00,482379314-498930828-471115033-538800945-511997477
126,2019-09-12 02:00:00,482417209-498966960-471148535-538841817-512031278
127,2019-09-12 03:00:00,482452407-499002615-471182456-538882927-512066566
128,2019-09-12 04:00:00,482485549-499037204-471215963-538920303-512101674
129,2019-09-12 05:00:00,482519419-499071896-471248260-538955872-512134595
130,2019-09-12 06:00:00,482552776-499105843-471279565-538993240-512166758
131,2019-09-12 07:00:00,482588306-499140130-471314114-539031887-512201609
132,2019-09-12 08:00:00,482624032-499175846-471348475-539070985-512235994
133,2019-09-12 09:00:00,482663039-499214778-471384374-539112290-512274012
134,2019-09-12 10:00:00,482703702-499251260-471419696-539153127-512314655
135,2019-09-12 11:00:00,482743442-499289349-471456605-539195194-512354790
136,2019-09-12 12:00:00,482784215-499329772-471496587-539240665-512396934
137,2019-09-12 13:00:00,482832050-499373368-471538370-539288925-512443503
138,2019-09-12 14:00:00,482878994-499421639-471582675-539358005-512493837
139,2019-09-12 15:00:00,482927473-499472033-471629262-539413775-512545708
140,2019-09-12 16:00:00,482978470-499524397-471676893-539467689-512599115
141,2019-09-12 17:00:00,483027565-499578433-471725010-539524404-512654143
142,2019-09-12 18:00:00,483081375-499638443-471773699-539592331-512704713
143,2019-09-12 19:00:00,483128436-499694023-471818198-539653721-512753186
144,2019-09-12 20:00:00,483173893-499748339-471863158-539719267-512806461
145,2019-09-12 21:00:00,483220729-499796008-471905981-539771641-512855881
146,2019-09-12 22:00:00,483262469-499838855-471943946-539817889-512900290
147,2019-09-12 23:00:00,483298068-499878793-471978075-539857421-512936849
148,2019-09-13 00:00:00,483328434-499911458-472006249-539892493-512969655
149,2019-09-13 01:00:00,483357762-499941694-472034280-539928737-512999851
150,2019-09-13 02:00:00,483387955-499972813-472062205-539963078-513030767
151,2019-09-13 03:00:00,483418132-500004830-472092683-539998294-513064429
152,2019-09-13 04:00:00,483449066-500036636-472121954-540035638-513096895
153,2019-09-13 05:00:00,483479048-500068462-472151729-540068590-513128073
154,2019-09-13 06:00:00,483510590-500102238-472182336-540101512-513160026
155,2019-09-13 07:00:00,483542795-500135412-472214244-540135921-513194646
156,2019-09-13 08:00:00,483577559-500169949-472250966-540172509-513231119
157,2019-09-13 09:00:00,483614411-500207134-472286695-540210937-513269956
158,2019-09-13 10:00:00,483646634-500238996-472322668-540244775-513307025
159,2019-09-13 11:00:00,483689757-500284508-472371306-540291828-513353774
160,2019-09-13 12:00:00,483731367-500363538-472414684-540337377-513398987
161,2019-09-13 13:00:00,483778453-500407975-472456773-540385162-513446882
162,2019-09-13 14:00:00,483831877-500472856-472506135-540441994-513503231
163,2019-09-13 15:00:00,483878719-500540085-472552750-540494947-513555240
164,2019-09-13 16:00:00,483930086-500593306-472605778-540551611-513612530
165,2019-09-13 17:00:00,483980186-500646086-472654948-540609371-513667426
166,2019-09-13 18:00:00,484032472-500697438-472704195-540666939-513719528
167,2019-09-13 19:00:00,484075814-500743972-472748987-540716201-513776642
168,2019-09-13 20:00:00,484124013-500795532-472797255-540773514-513835579
169,2019-09-13 21:00:00,484166324-500840147-472839515-540820427-513880839
170,2019-09-13 22:00:00,484208956-500883124-472883357-540869789-513925902
171,2019-09-13 23:00:00,484246362-500923441-472918229-540911992-513965223
172,2019-09-14 00:00:00,484280985-500959380-472948237-540949412-513999764
173,2019-09-14 01:00:00,484313631-500994873-472977043-540991859-514035468
174,2019-09-14 02:00:00,484347863-501030548-473007994-541027305-514071188
175,2019-09-14 03:00:00,484382555-501067333-473042253-541067231-514108464
176,2019-09-14 04:00:00,484416657-501105020-473079242-541108088-514147029
177,2019-09-14 05:00:00,484453966-501143975-473115781-541147298-514188273
178,2019-09-14 06:00:00,484495210-501184729-473152612-541187466-514227230
179,2019-09-14 07:00:00,484540304-501228747-473193614-541276712-514268435
180,2019-09-14 08:00:00,484584172-501275758-473239832-541341257-514314167
181,2019-09-14 09:00:00,484631498-501323275-473285038-541397619-514361936
182,2019-09-14 10:00:00,484681459-501372391-473333190-541449095-514411072
183,2019-09-14 11:00:00,484733021-501422522-473381176-541503147-514461393
184,2019-09-14 12:00:00,484783782-501475240-473431039-541577923-514512836
185,2019-09-14 13:00:00,484837072-501531289-473485065-541636826-514569279
186,2019-09-14 14:00:00,484891986-501589041-473539841-541703439-514634870
187,2019-09-14 15:00:00,484953224-501652604-473596912-541767804-514696922
188,2019-09-14 16:00:00,485011860-501719236-473653970-541829222-514757981
189,2019-09-14 17:00:00,485069853-501780829-473714836-541892252-514832925
190,2019-09-14 18:00:00,485126690-501837880-473770668-541954461-514891573
191,2019-09-14 19:00:00,485179906-501892145-473819105-542012069-514943853
192,2019-09-14 20:00:00,485231900-501945752-473869036-542072266-515001873
193,2019-09-14 21:00:00,485280982-501995923-473914952-542126538-515051916
194,2019-09-14 22:00:00,485324984-502045719-473955325-542174128-515097464
195,2019-09-14 23:00:00,485370813-502089539-473996243-542221439-515146691
196,2019-09-15 00:00:00,485405686-502124424-474028620-542260109-515181824
197,2019-09-15 01:00:00,485440327-502161061-474061378-542300266-515221714
198,2019-09-15 02:00:00,485476462-502198655-474096047-542337566-515257641
199,2019-09-15 03:00:00,485514556-502236971-474133026-542379251-515295746
200,2019-09-15 04:00:00,485552687-502273746-474168983-542419487-515334981
201,2019-09-15 05:00:00,485592523-502333610-474205724-542462017-515375804
202,2019-09-15 06:00:00,485632963-502413316-474245218-542506987-515420033
203,2019-09-15 07:00:01,485676954-502501697-474288487-542551206-515466609
204,2019-09-15 08:00:00,485725574-502606447-474335556-542602662-515514659
205,2019-09-15 09:00:00,485777643-502705380-474386177-542658332-515564839
206,2019-09-15 10:00:01,485828024-502797180-474438913-542712932-515619757
207,2019-09-15 11:00:00,485880508-502880634-474490111-542773012-515673626
208,2019-09-15 12:00:00,485936429-502943083-474543201-542833129-515732493
209,2019-09-15 13:00:01,485992681-503004986-474598953-542897369-515796868
210,2019-09-15 14:00:00,486055788-503067308-474657824-542964748-515863189
211,2019-09-15 15:00:00,486119513-503128989-474720941-543038131-515930107
